epoch,train_total,train_hard,train_soft,train_feat,train_bg,val_total,val_hard
1,1.658781577682495,1.1633843769073486,1.1848393938064574,0.3838064122676849,0.26146067271232604,0.6197804816343166,0.8854006994653632
2,1.1743861430883407,0.8057622845411301,0.8630088714480401,0.2755187510251999,0.21597259745597838,0.5540159412556225,0.7914513545731704
3,1.006606620979309,0.6900902975082397,0.7390008917927742,0.24384519946575164,0.20954116489887237,0.4978765782382753,0.7112522624433041
4,0.9122189084291458,0.62192837703228,0.6707212463080883,0.22867998870611192,0.20350137354135514,0.5091574708482733,0.727367824881717
5,0.8515717684626579,0.5731495114326477,0.6325872424185276,0.22089614514112474,0.19595771939754486,0.4967675164617874,0.70966789279547
6,0.8039180165052414,0.5410340555906296,0.5958484785318374,0.21394520800113678,0.18454192163944244,0.4363859823594491,0.6234085559017128
7,0.7736913101553917,0.5166539770960807,0.5773476248383522,0.20940564866065978,0.18238738895654677,0.4464311615322475,0.6377588131223564
8,0.7393814141511917,0.49092705801129344,0.5545610864698887,0.20420735057592393,0.17456953697204589,0.44349295157525276,0.6335613678726885
9,0.7111399963498115,0.47358763937354087,0.5295870499491692,0.20208613069057466,0.17109532834291458,0.4466170821200918,0.6380244136132576
10,0.6867530355930328,0.4509330402702093,0.5176415614098311,0.19960183612108232,0.16770791914463043,0.44704024746186205,0.6386289321024109
11,0.6399489982247353,0.4180993306428194,0.4827806201726198,0.1949580678462982,0.16146952620744706,0.4341210038918588,0.6201728740914001
12,0.6143559270024299,0.3989686948925257,0.4655480884999037,0.19477190047502518,0.1542394199490547,0.43266650609396123,0.6180950161207606
13,0.6021409900546074,0.3887929327398539,0.4564024535953999,0.19228584336042404,0.15085830236673356,0.421067452761862,0.6015249433892744
14,0.5975511543512344,0.383801296338439,0.45481102086007597,0.1926074438691139,0.15011638469696045,0.42582319586503287,0.6083188640712588
15,0.5847171127796174,0.3752523298799992,0.44448486146330835,0.19080447981357573,0.15025326070785522,0.40640174447800276,0.5805739332818323
16,0.5779568217635155,0.36532809693813323,0.4466867360532284,0.19013914436101914,0.14496717220544816,0.394359801599273,0.5633711500300301
17,0.5706073707938194,0.3598728246673942,0.44088811314702037,0.1891605140924454,0.15147089977264405,0.4132408647901482,0.5903441027220753
18,0.5588033286690712,0.3537767513275146,0.4275534705489874,0.1897937780737877,0.14601502294540405,0.4181019991912224,0.5972885767204894
19,0.5598861104726791,0.3555841794505715,0.42751874035000803,0.1889741499185562,0.1444778124809265,0.389573624668022,0.5565337600945323
20,0.5544956451654435,0.34192156821340325,0.4367325805008411,0.18818200235366822,0.1435259047985077,0.3717707441912757,0.5311010690336978
21,0.5453513150691986,0.3412495806694031,0.422578369435668,0.1883268758893013,0.1392143849015236,0.3958489590289968,0.5654985211375687
22,0.5445083362221718,0.33661650707423685,0.42472243579924107,0.18730712115764617,0.1403007386445999,0.41575936530199314,0.5939419601388551
23,0.5314248007655143,0.3315580215111375,0.409333238992095,0.18762250748872758,0.14071970705986023,0.4188124400391071,0.5983034958855973
24,0.5258395160794258,0.32584262261390684,0.41057726192772387,0.18662669543027877,0.1388515229821205,0.40346153228095283,0.5763736302102054
25,0.4975041954636574,0.2962962687641382,0.39541159176528456,0.18481506778001786,0.13039862310290337,0.41793426602251,0.5970489611366281
26,0.4875600313544273,0.2956449579939246,0.38236981698572636,0.18362368654608727,0.13503438166975976,0.3919523735979089,0.5599319731057794
27,0.49094704792499544,0.2970878589093685,0.3861777461618185,0.18497445892095565,0.12856504403948785,0.38166339361557255,0.545233428630012
28,0.4854767457842827,0.2892408601492643,0.3863508106634021,0.18427333394885062,0.12808212943673133,0.3806229887392234,0.5437471371833925
29,0.47095669976472854,0.28054153112471103,0.37089807415157555,0.18258327775001526,0.12560333159565926,0.3846217942182665,0.5494597150633732
30,0.4599972002029419,0.2728279377713799,0.3630390060454607,0.18244771585464478,0.12597926294803619,0.3704017543682346,0.529145372658968
31,0.45945379116535184,0.2732721163958311,0.36110705135166643,0.18229418150186538,0.1244200157880783,0.379612192194219,0.5423031392334788
32,0.457324447453022,0.27006582193672657,0.3622882302522659,0.1830401070356369,0.12413892868161201,0.36258177303329664,0.5179739705804322
33,0.45786374171972277,0.27441849368810656,0.3574896927237511,0.18316423650979996,0.12699366116523741,0.38118088844197767,0.5445441335301708
34,0.45685590074658394,0.2708038149371743,0.36228529694378375,0.18317277164459228,0.12461995324492454,0.37779979900353483,0.5397140046098718
35,0.4536714666545391,0.2665057050734758,0.3604822262376547,0.18343841650485992,0.12481969068646431,0.3852678032522952,0.5503825811876191
36,0.45194864121675493,0.2686707101136446,0.35533624264001845,0.18337642236948012,0.12116706140041351,0.37307689351340134,0.5329669984264507
37,0.44034985266923904,0.25823686886131764,0.3456577762812376,0.18314806698560715,0.12182819414138794,0.37973545424088284,0.5424792305738838
38,0.4424910295128822,0.26181886058747766,0.3468900000065565,0.18305587689876557,0.12227677766084671,0.371311656082118,0.5304452318836141
39,0.4407440024852753,0.2556594964921474,0.3510170314431191,0.1824475952029228,0.12240181284546853,0.35690737419106344,0.509867683177193
40,0.44469381927251816,0.2581943394228816,0.35649883461892606,0.18182742683887482,0.12028998299837113,0.3744031318704839,0.5348616264760494
41,0.4436992287755013,0.25835586276352407,0.3525040573596954,0.1827481735110283,0.1209493785738945,0.3736622055509576,0.5338031595227894
42,0.4379788916230202,0.255632431396842,0.3465917836308479,0.18280841666460038,0.11543623408675194,0.3675661882316625,0.5250945621894465
43,0.43676145187020304,0.25396366328150033,0.34679561418890953,0.18269319771528245,0.12452073448300362,0.3637085269446726,0.51958361779926
44,0.4390843657135963,0.25562646036446096,0.3489571805566549,0.18251082330942153,0.11866402290463447,0.37609414477591163,0.5372773570870911
45,0.4306997876763344,0.24581243377923964,0.3474741379976273,0.18163879516124726,0.11673859320282937,0.3662864714860916,0.5232663945881305
46,0.4345035249531269,0.25244175729453566,0.34367357489168643,0.18221904568672181,0.12163481567502021,0.36021608403987354,0.5145944114774466
47,0.43542954886555674,0.2545941189453006,0.3428364728301764,0.18183642312288284,0.11918719397187233,0.3642714363971242,0.520387773781463
48,0.4310133201777935,0.24651047502756118,0.34901769279539585,0.1814676213622093,0.11303974242806435,0.36165272534169535,0.5166467598880883
49,0.43725347652435304,0.25439229927659035,0.34718787048757077,0.1813501724720001,0.11816720883250237,0.3716630071953491,0.5309471623351176
