epoch,train_total,train_hard,train_soft,train_feat,train_bg,val_total,val_hard
1,0.9316608891010284,1.394901343035698,0.5535996659874917,0.33028827873468397,0.2658422162771225,0.32389509299838987,1.0796502650887878
2,0.6981028007268906,1.085868477010727,0.38539114496707916,0.2703691376447678,0.2145770263671875,0.31260052350936113,1.0420017072448025
3,0.6176533862352371,0.9767532358646392,0.32461223514676096,0.2556744851231575,0.20696492447853088,0.27835203022868543,0.927840062699936
4,0.5742704732775689,0.9112740611314774,0.2953262946903706,0.24798490545749663,0.197643652510643,0.27383577682905724,0.9127858857313792
5,0.5441400228977203,0.8586675578951836,0.27780040646195414,0.24337071769237517,0.1906824539065361,0.2856129850640341,0.9520432442426682
6,0.5245421841144562,0.8316592594981194,0.26475613413453103,0.23892982870340349,0.1803615388393402,0.25549559800161253,0.8516519616599436
7,0.5038712429761887,0.7952756882786751,0.25335090876221655,0.23598585032224656,0.17147135457992554,0.27196864160122697,0.9065621041589313
8,0.4917053251743317,0.7721545157909393,0.24799798536896706,0.23446385687589646,0.16121213381290436,0.2442131352369432,0.8140437484891326
9,0.47791856791973114,0.7504371713638306,0.23925322672128677,0.23258865420818328,0.15533551968336104,0.2559904799417213,0.8533015656250494
10,0.4623739119887352,0.7255508210420608,0.22924093514680863,0.2306951476097107,0.15031457023620606,0.25107672208989107,0.8369223717738081
11,0.4599122383594513,0.7143070023298264,0.23071471244096756,0.23059382523298264,0.1494168233036995,0.24598203604971922,0.8199400875303481
12,0.45028830088377,0.6996829110622406,0.22538583827614783,0.22895414559841157,0.1392708878517151,0.2769140626821253,0.9230468356498965
13,0.42517520802021025,0.6562464958071709,0.21079815185666084,0.2258385957956314,0.12990966364741324,0.23244993736346561,0.7748330918175202
14,0.4185826092004776,0.6451556648135185,0.2063291536450386,0.22455446866750717,0.13239153183698654,0.24039538546844766,0.8013179197355553
15,0.41332477737665174,0.6356410741090774,0.2032932870090008,0.22383340470790863,0.1317712531208992,0.2263061542201925,0.7543538158690488
16,0.40999842163324357,0.6247678940057755,0.20370778651535512,0.22379742656946183,0.1283336709022522,0.2368417037581956,0.7894723136115958
17,0.4055515262246132,0.6165597313940525,0.20084390384554862,0.22345810652971268,0.12955434314012526,0.22871520083259653,0.7623839740399961
18,0.40190143401622774,0.6108306124091148,0.19904819169640542,0.2226479635000229,0.12524119153022767,0.24372987294638598,0.8124328779401603
19,0.3970602506875992,0.6026341308474541,0.19617665160894393,0.22203506939411163,0.1233582651734352,0.2244562637750749,0.7481875185613279
20,0.3975265227913857,0.5984047741770744,0.1984880382925272,0.2224494724869728,0.12328614795207977,0.22902522630713604,0.7634173889954885
21,0.39547181001901627,0.597184651184082,0.19685646997392178,0.2218869368314743,0.11950796475410462,0.21829997116216907,0.7276665425962872
22,0.3903850395321846,0.587169350707531,0.19349779962301256,0.22152087502479553,0.12329504246711731,0.22564228640662298,0.7521409233411153
23,0.38804020345211027,0.5852961078047753,0.19148664571344853,0.2209302442073822,0.12131638118624687,0.23751982903039015,0.7917327303577353
24,0.38921298997402193,0.5817970759272575,0.19482042817771436,0.2207712021112442,0.12068199290633201,0.2352905639067844,0.7843018531799316
25,0.3837547214865685,0.5740195305585861,0.19052661311626434,0.22032459045648575,0.12082848570346832,0.23134606753786405,0.7711535253458552
26,0.37355879060029984,0.5566687690973282,0.18499827837646007,0.21830537976026534,0.11567744212150574,0.21801885485097214,0.7267294878209078
27,0.3695622859597206,0.5481393828868866,0.18353804596066475,0.21756681911945344,0.11373784748315811,0.2238386969047564,0.7461289583532899
28,0.3657925993323326,0.5408535424232483,0.18141170843839646,0.2179240028500557,0.1117113243162632,0.2250110172563129,0.7500366937231134
29,0.36443975967168807,0.5366449900984764,0.18146290830373765,0.21777988585233687,0.11088253090977669,0.21720011354320579,0.7240003460535297
30,0.3632172686457634,0.5365878365993499,0.1793815294086933,0.2170261306285858,0.1156600030362606,0.21465897079971102,0.7155298740775496
31,0.3604238048195839,0.5319208379507064,0.17792196357548237,0.21709167360067366,0.11174669198393822,0.21926730425545463,0.730890986488925
32,0.3570247617125511,0.5230644085884094,0.17716084290146827,0.21699977581501007,0.10992909868955612,0.21197918366502833,0.7065972502584811
33,0.3593105751514435,0.5252093015909195,0.17924975861012934,0.21712761778831483,0.11134661112427711,0.22369688033229776,0.7456562386066825
34,0.3604857031106949,0.5272127643704414,0.1799426903128624,0.21690902980566024,0.11289273982048034,0.21028611305411216,0.7009536802216813
35,0.35595271087884905,0.5175551661014557,0.17796427852511407,0.2166103754043579,0.11128046744465828,0.2205774286278972,0.7352580663782579
36,0.3566352887868881,0.5195225901842118,0.1783026558250189,0.2168946951508522,0.10898236889839172,0.2206699796848827,0.7355665731209295
